Ww,Cluster,Product,Period,Demand
0,1,1,1,38536
0,1,1,2,84071
0,1,1,3,122400
0,1,1,4,170111
0,1,1,5,206594
0,1,1,6,255923
0,1,1,7,285696
0,1,1,8,334249
0,1,1,9,376053
0,1,1,10,414034
0,1,2,1,27648
0,1,2,2,50265
0,1,2,3,82086
0,1,2,4,109414
0,1,2,5,134224
0,1,2,6,169448
0,1,2,7,186007
0,1,2,8,220369
0,1,2,9,244162
0,1,2,10,271166
0,1,3,1,205165
0,1,3,2,379832
0,1,3,3,577607
0,1,3,4,783732
0,1,3,5,1017746
0,1,3,6,1194459
0,1,3,7,1396335
0,1,3,8,1557283
0,1,3,9,1778921
0,1,3,10,1996171
0,1,4,1,29692
0,1,4,2,57481
0,1,4,3,87980
0,1,4,4,117711
0,1,4,5,143466
0,1,4,6,174494
0,1,4,7,201834
0,1,4,8,227240
0,1,4,9,258804
0,1,4,10,285566
1,2,1,1,3615
1,2,1,2,6720
1,2,1,3,11283
1,2,1,4,13548
1,2,1,5,18779
1,2,1,6,21932
1,2,1,7,25454
1,2,1,8,28772
1,2,1,9,33451
1,2,1,10,36413
1,2,2,1,2772
1,2,2,2,5589
1,2,2,3,8820
1,2,2,4,11036
1,2,2,5,13880
1,2,2,6,16673
1,2,2,7,19347
1,2,2,8,22316
1,2,2,9,24473
1,2,2,10,27553
1,2,3,1,22702
1,2,3,2,43171
1,2,3,3,61094
1,2,3,4,74564
1,2,3,5,101904
1,2,3,6,124604
1,2,3,7,146114
1,2,3,8,163188
1,2,3,9,182874
1,2,3,10,202559
1,2,4,1,3280
1,2,4,2,5951
1,2,4,3,9364
1,2,4,4,11512
1,2,4,5,14897
1,2,4,6,17307
1,2,4,7,21512
1,2,4,8,23478
1,2,4,9,26680
1,2,4,10,30168
2,3,1,1,31486
2,3,1,2,59645
2,3,1,3,90864
2,3,1,4,123623
2,3,1,5,150877
2,3,1,6,188522
2,3,1,7,215859
2,3,1,8,241671
2,3,1,9,276258
2,3,1,10,305406
2,3,2,1,19128
2,3,2,2,38939
2,3,2,3,61977
2,3,2,4,80981
2,3,2,5,98491
2,3,2,6,115288
2,3,2,7,142654
2,3,2,8,156913
2,3,2,9,176821
2,3,2,10,197921
2,3,3,1,202513
2,3,3,2,385408
2,3,3,3,573839
2,3,3,4,781837
2,3,3,5,909939
2,3,3,6,1137123
2,3,3,7,1300583
2,3,3,8,1509495
2,3,3,9,1694553
2,3,3,10,1908386
2,3,4,1,19745
2,3,4,2,38463
2,3,4,3,52916
2,3,4,4,76534
2,3,4,5,96261
2,3,4,6,113021
2,3,4,7,135715
2,3,4,8,148956
2,3,4,9,171589
2,3,4,10,190267
3,4,1,1,314
3,4,1,2,685
3,4,1,3,1006
3,4,1,4,1234
3,4,1,5,1606
3,4,1,6,1910
3,4,1,7,2273
3,4,1,8,2652
3,4,1,9,2882
3,4,1,10,3222
3,4,2,1,189
3,4,2,2,365
3,4,2,3,559
3,4,2,4,761
3,4,2,5,894
3,4,2,6,1138
3,4,2,7,1357
3,4,2,8,1499
3,4,2,9,1691
3,4,2,10,1881
3,4,3,1,1517
3,4,3,2,2852
3,4,3,3,4176
3,4,3,4,6188
3,4,3,5,7685
3,4,3,6,8698
