Cluster,Product,Period,Demand
0,1,1,38536.0
0,1,2,45535.0
0,1,3,38329.0
0,1,4,47711.0
0,1,5,36483.0
0,1,6,49329.0
0,1,7,30006.0
0,1,8,48553.0
0,1,9,41804.0
0,1,10,37981.0
0,2,1,27648.0
0,2,2,22617.0
0,2,3,31821.0
0,2,4,27328.0
0,2,5,24874.0
0,2,6,35224.0
0,2,7,16559.0
0,2,8,34362.0
0,2,9,23793.0
0,2,10,27004.0
0,3,1,205165.0
0,3,2,174667.0
0,3,3,197775.0
0,3,4,206125.0
0,3,5,234014.0
0,3,6,176713.0
0,3,7,201876.0
0,3,8,160948.0
0,3,9,221638.0
0,3,10,217250.0
0,4,1,29692.0
0,4,2,27789.0
0,4,3,30499.0
0,4,4,29731.0
0,4,5,25755.0
0,4,6,31028.0
0,4,7,27340.0
0,4,8,25406.0
0,4,9,31564.0
0,4,10,26762.0
1,1,1,3615.0
1,1,2,3105.0
1,1,3,4563.0
1,1,4,2265.0
1,1,5,5231.0
1,1,6,3153.0
1,1,7,3522.0
1,1,8,3318.0
1,1,9,4679.0
1,1,10,2962.0
1,2,1,2772.0
1,2,2,2817.0
1,2,3,3231.0
1,2,4,2216.0
1,2,5,2844.0
1,2,6,2795.0
1,2,7,2674.0
1,2,8,2969.0
1,2,9,2157.0
1,2,10,3080.0
1,3,1,22702.0
1,3,2,20469.0
1,3,3,17923.0
1,3,4,13470.0
1,3,5,27340.0
1,3,6,22700.0
1,3,7,21510.0
1,3,8,17074.0
1,3,9,19686.0
1,3,10,19685.0
1,4,1,3280.0
1,4,2,2671.0
1,4,3,3413.0
1,4,4,2148.0
1,4,5,3385.0
1,4,6,2415.0
1,4,7,4205.0
1,4,8,1966.0
1,4,9,3202.0
1,4,10,3488.0
2,1,1,31486.0
2,1,2,28159.0
2,1,3,31219.0
2,1,4,32759.0
2,1,5,27254.0
2,1,6,37645.0
2,1,7,27337.0
2,1,8,25812.0
2,1,9,34587.0
2,1,10,29148.0
2,2,1,19128.0
2,2,2,19811.0
2,2,3,23038.0
2,2,4,19004.0
2,2,5,17510.0
2,2,6,16797.0
2,2,7,27366.0
2,2,8,14259.0
2,2,9,19908.0
2,2,10,21100.0
2,3,1,202513.0
2,3,2,182895.0
2,3,3,188431.0
2,3,4,207998.0
2,3,5,128130.0
2,3,6,227184.0
2,3,7,164059.0
2,3,8,208912.0
2,3,9,185058.0
2,3,10,213833.0
2,4,1,19745.0
2,4,2,18718.0
2,4,3,14453.0
2,4,4,23618.0
2,4,5,19727.0
2,4,6,16760.0
2,4,7,22709.0
2,4,8,13241.0
2,4,9,22633.0
2,4,10,18678.0
3,1,1,314.0
3,1,2,371.0
3,1,3,321.0
3,1,4,228.0
3,1,5,372.0
3,1,6,304.0
3,1,7,363.0
3,1,8,379.0
3,1,9,230.0
3,1,10,340.0
3,2,1,189.0
3,2,2,176.0
3,2,3,194.0
3,2,4,202.0
3,2,5,133.0
3,2,6,244.0
3,2,7,219.0
3,2,8,142.0
3,2,9,192.0
3,2,10,190.0
3,3,1,1517.0
3,3,2,1335.0
3,3,3,1324.0
3,3,4,2012.0
3,3,5,1497.0
3,3,6,1013.0
3,3,7,1467.0
3,3,8,1221.0
3,3,9,1827.0
3,3,10,1307.0
3,4,1,171.0
3,4,2,154.0
3,4,3,99.0
3,4,4,229.0
3,4,5,140.0
3,4,6,108.0
3,4,7,195.0
3,4,8,132.0
3,4,9,143.0
3,4,10,169.0
4,1,1,23754.0
4,1,2,26063.0
4,1,3,24264.0
4,1,4,20952.0
4,1,5,32271.0
4,1,6,18536.0
4,1,7,20687.0
4,1,8,27387.0
4,1,9,26234.0
4,1,10,24244.0
4,2,1,19775.0
4,2,2,19265.0
4,2,3,19407.0
4,2,4,20976.0
4,2,5,16722.0
4,2,6,18149.0
4,2,7,21906.0
4,2,8,17817.0
4,2,9,23959.0
4,2,10,17754.0
4,3,1,155314.0
4,3,2,144790.0
4,3,3,151197.0
4,3,4,137882.0
4,3,5,135014.0
4,3,6,144395.0
4,3,7,173409.0
4,3,8,128824.0
4,3,9,179221.0
4,3,10,139543.0
4,4,1,24370.0
4,4,2,22022.0
4,4,3,32941.0
4,4,4,20903.0
4,4,5,19892.0
4,4,6,30856.0
4,4,7,18656.0
4,4,8,29938.0
4,4,9,23790.0
4,4,10,24856.0
5,1,1,740.0
5,1,2,649.0
5,1,3,888.0
5,1,4,833.0
5,1,5,437.0
5,1,6,796.0
5,1,7,815.0
5,1,8,847.0
5,1,9,900.0
5,1,10,726.0
5,2,1,523.0
5,2,2,518.0
5,2,3,479.0
5,2,4,699.0
5,2,5,870.0
5,2,6,359.0
5,2,7,535.0
5,2,8,896.0
5,2,9,404.0
5,2,10,587.0
5,3,1,3262.0
5,3,2,3019.0
5,3,3,4729.0
5,3,4,3261.0
5,3,5,3136.0
5,3,6,2231.0
5,3,7,4176.0
5,3,8,3843.0
5,3,9,4647.0
5,3,10,2711.0
5,4,1,606.0
5,4,2,351.0
5,4,3,604.0
5,4,4,884.0
5,4,5,531.0
5,4,6,409.0
5,4,7,327.0
5,4,8,719.0
5,4,9,466.0
5,4,10,693.0
6,1,1,12870.0
6,1,2,11232.0
6,1,3,13483.0
6,1,4,11325.0
6,1,5,14282.0
6,1,6,12938.0
6,1,7,10488.0
6,1,8,11185.0
6,1,9,12309.0
6,1,10,12418.0
6,2,1,8754.0
6,2,2,7336.0
6,2,3,9718.0
6,2,4,10515.0
6,2,5,6697.0
6,2,6,8915.0
6,2,7,10006.0
6,2,8,6433.0
6,2,9,7071.0
6,2,10,10466.0
6,3,1,62230.0
6,3,2,60567.0
6,3,3,58519.0
6,3,4,70358.0
6,3,5,60463.0
6,3,6,68208.0
6,3,7,72887.0
6,3,8,44704.0
6,3,9,71553.0
6,3,10,61247.0
6,4,1,10177.0
6,4,2,7882.0
6,4,3,11621.0
6,4,4,10044.0
6,4,5,5699.0
6,4,6,11996.0
6,4,7,7112.0
6,4,8,11235.0
6,4,9,7785.0
6,4,10,11347.0
7,1,1,1854.0
7,1,2,2019.0
7,1,3,2398.0
7,1,4,2216.0
7,1,5,1954.0
7,1,6,2084.0
7,1,7,1333.0
7,1,8,1204.0
7,1,9,2877.0
7,1,10,1835.0
7,2,1,771.0
7,2,2,1134.0
7,2,3,470.0
7,2,4,1220.0
7,2,5,536.0
7,2,6,797.0
7,2,7,1108.0
7,2,8,503.0
7,2,9,992.0
7,2,10,846.0
7,3,1,11374.0
