Ww,Cluster,Product,Period,Scenario,Demand
0,1,1,1,1,41862
0,1,1,1,2,38048
0,1,1,1,3,38768
0,1,1,1,4,37453
0,1,1,1,5,39656
0,1,1,1,6,37601
0,1,1,1,7,35351
0,1,1,1,8,35863
0,1,1,1,9,36723
0,1,1,1,10,36518
0,1,1,1,11,36365
0,1,1,1,12,38077
0,1,1,1,13,42723
0,1,1,1,14,41020
0,1,1,1,15,37646
0,1,1,1,16,36685
0,1,1,1,17,41671
0,1,1,1,18,39485
0,1,1,1,19,35073
0,1,1,1,20,36503
0,1,1,2,1,95030
0,1,1,2,2,85446
0,1,1,2,3,81004
0,1,1,2,4,91170
0,1,1,2,5,84477
0,1,1,2,6,92606
0,1,1,2,7,68533
0,1,1,2,8,75685
0,1,1,2,9,73918
0,1,1,2,10,78886
0,1,1,2,11,71690
0,1,1,2,12,73694
0,1,1,2,13,89694
0,1,1,2,14,97710
0,1,1,2,15,78231
0,1,1,2,16,88135
0,1,1,2,17,98202
0,1,1,2,18,89243
0,1,1,2,19,70294
0,1,1,2,20,70138
0,1,1,3,1,140835
0,1,1,3,2,119323
0,1,1,3,3,116812
0,1,1,3,4,138238
0,1,1,3,5,132193
0,1,1,3,6,154751
0,1,1,3,7,81975
0,1,1,3,8,94043
0,1,1,3,9,105973
0,1,1,3,10,103568
0,1,1,3,11,102410
0,1,1,3,12,109612
0,1,1,3,13,153863
0,1,1,3,14,143660
0,1,1,3,15,108177
0,1,1,3,16,133632
0,1,1,3,17,151967
0,1,1,3,18,131290
0,1,1,3,19,96496
0,1,1,3,20,94644
0,1,1,4,1,224328
0,1,1,4,2,164052
0,1,1,4,3,161471
0,1,1,4,4,200427
0,1,1,4,5,194630
0,1,1,4,6,201824
0,1,1,4,7,97827
0,1,1,4,8,124737
0,1,1,4,9,134216
0,1,1,4,10,133240
0,1,1,4,11,132089
0,1,1,4,12,143955
0,1,1,4,13,238056
0,1,1,4,14,223683
0,1,1,4,15,141291
0,1,1,4,16,189585
0,1,1,4,17,217072
0,1,1,4,18,171231
0,1,1,4,19,118831
0,1,1,4,20,126372
0,1,1,5,1,281912
0,1,1,5,2,199767
0,1,1,5,3,169343
0,1,1,5,4,257097
0,1,1,5,5,218665
0,1,1,5,6,285415
0,1,1,5,7,111272
0,1,1,5,8,132484
0,1,1,5,9,154788
0,1,1,5,10,166727
0,1,1,5,11,147224
0,1,1,5,12,167938
0,1,1,5,13,304660
0,1,1,5,14,264945
0,1,1,5,15,167109
0,1,1,5,16,232870
0,1,1,5,17,278304
0,1,1,5,18,234099
0,1,1,5,19,120043
0,1,1,5,20,133688
0,1,1,6,1,363115
0,1,1,6,2,257594
0,1,1,6,3,216398
0,1,1,6,4,302840
0,1,1,6,5,301256
0,1,1,6,6,350849
0,1,1,6,7,105462
0,1,1,6,8,144002
0,1,1,6,9,185500
0,1,1,6,10,190974
0,1,1,6,11,167630
0,1,1,6,12,191447
0,1,1,6,13,410694
0,1,1,6,14,347086
0,1,1,6,15,195141
0,1,1,6,16,294760
0,1,1,6,17,410351
0,1,1,6,18,293582
0,1,1,6,19,138594
0,1,1,6,20,154156
0,1,1,7,1,428411
0,1,1,7,2,266582
0,1,1,7,3,239906
0,1,1,7,4,384039
0,1,1,7,5,313361
0,1,1,7,6,401982
0,1,1,7,7,95154
0,1,1,7,8,137509
0,1,1,7,9,187608
0,1,1,7,10,209033
0,1,1,7,11,165256
0,1,1,7,12,187991
0,1,1,7,13,455976
0,1,1,7,14,398097
0,1,1,7,15,190191
0,1,1,7,16,364040
0,1,1,7,17,435372
0,1,1,7,18,322357
0,1,1,7,19,124882
0,1,1,7,20,151284
0,1,1,8,1,530968
0,1,1,8,2,322348
0,1,1,8,3,257872
0,1,1,8,4,454741
0,1,1,8,5,372996
0,1,1,8,6,479934
0,1,1,8,7,74274
0,1,1,8,8,133413
0,1,1,8,9,190573
0,1,1,8,10,228498
